date,Domestic Aviation,Ground Transport,Industry,International Aviation,Power,Residential,OT
2019/1/1,0.15455,2.521743,10.41741,0.040374,14.823352,4.34889,32.265944
2019/1/2,0.156675,2.539914,10.249356,0.039796,14.584221,4.180773,31.710939
2019/1/3,0.153254,2.529741,9.936428,0.041396,14.138943,3.871681,30.630047
2019/1/4,0.154317,2.574039,10.266741,0.040765,14.608959,3.826453,31.430509
2019/1/5,0.150225,2.5147,10.260946,0.045239,14.600713,3.909223,31.435807
2019/1/6,0.153873,2.453375,10.336281,0.043708,14.707909,3.892203,31.543641
2019/1/7,0.153834,2.533849,10.222313,0.040882,14.54574,3.820128,31.275865
2019/1/8,0.152179,2.533557,10.372982,0.041915,14.760133,3.948175,31.767027
2019/1/9,0.153787,2.533321,10.415478,0.041734,14.820603,3.937467,31.860657
2019/1/10,0.160578,2.534356,10.620234,0.046277,15.111958,3.789597,32.216723
2019/1/11,0.126551,2.56579,10.807604,0.041501,15.378575,3.700893,32.579413
2019/1/12,0.152022,2.491598,10.485018,0.044685,14.919554,3.680981,31.729173
2019/1/13,0.152024,2.433094,10.146978,0.044718,14.438544,3.672879,30.843519
2019/1/14,0.157882,2.52464,10.112209,0.042345,14.389069,3.60775,30.791549
2019/1/15,0.157378,2.521262,10.257083,0.041166,14.595216,4.082795,31.613733
2019/1/16,0.126645,2.512354,10.276399,0.037389,14.622702,4.121156,31.659256
2019/1/17,0.15822,2.519939,10.322759,0.043311,14.688669,3.890545,31.580133
2019/1/18,0.159773,2.578877,10.239698,0.043739,14.570478,3.587464,31.13629
2019/1/19,0.159711,2.521582,10.146978,0.046418,14.438544,3.537561,30.804376
2019/1/20,0.161067,2.260584,9.837914,0.044876,13.998763,3.736514,29.994842
2019/1/21,0.167479,2.521603,9.71622,0.044052,13.8256,3.775421,30.006322
2019/1/22,0.171869,2.54053,9.430335,0.047814,13.418803,3.580444,29.141981
2019/1/23,0.181258,2.527615,9.449651,0.053701,13.446289,3.476573,29.081386
2019/1/24,0.180629,2.535231,9.123202,0.054501,12.981771,3.313003,28.133836
2019/1/25,0.179573,2.582569,8.564954,0.056562,12.187417,3.479563,26.994076
2019/1/26,0.181067,2.50286,8.047271,0.057413,11.450785,3.633516,25.815499
2019/1/27,0.18551,2.428812,7.747864,0.056164,11.024748,3.434767,24.821701
2019/1/28,0.145163,2.506192,7.877285,0.050865,11.208906,3.444229,25.181775
2019/1/29,0.184458,2.522489,7.413688,0.054549,10.549235,3.270372,23.940243
2019/1/30,0.186403,2.524727,6.988724,0.055546,9.944537,3.495448,23.139839
2019/1/31,0.186599,2.524233,6.766584,0.057064,9.628445,3.83288,22.938741
2019/2/1,0.187923,2.589353,6.910848,0.056674,10.688598,3.732533,24.109254
2019/2/2,0.186838,2.512632,6.858263,0.05748,10.607268,3.265952,23.430953
2019/2/3,0.185473,2.462959,6.649946,0.057084,10.285077,3.489875,23.073331
2019/2/4,0.158495,2.562307,6.370843,0.051268,9.853404,3.444349,22.389398
2019/2/5,0.166517,2.567522,6.259606,0.049406,9.681361,3.386046,22.061051
2019/2/6,0.174492,2.56173,6.229268,0.049528,9.63444,3.423153,22.023083
2019/2/7,0.180365,2.56157,6.186796,0.048357,9.56875,3.928767,22.426248
2019/2/8,0.180928,2.597833,6.364775,0.048004,9.84402,4.126812,23.114368
2019/2/9,0.186577,2.518462,6.651969,0.049739,10.288205,4.215371,23.860584
2019/2/10,0.18848,2.477415,6.852195,0.049911,10.597884,4.279713,24.395687
2019/2/11,0.189298,2.57631,7.246581,0.048875,11.207856,4.030785,25.25083
2019/2/12,0.189448,2.579213,7.450852,0.050237,11.523791,3.854963,25.598268
2019/2/13,0.18527,2.574098,7.725911,0.049274,11.949208,3.842761,26.277247
2019/2/14,0.175947,2.572715,8.057599,0.05124,12.46221,3.848545,27.117017
2019/2/15,0.18396,2.607915,8.148611,0.053381,12.602973,3.859631,27.40309
2019/2/16,0.184943,2.536069,8.360973,0.054095,12.93142,3.902252,27.915657
2019/2/17,0.184284,2.490394,8.395355,0.051962,12.984597,3.846593,27.901224
2019/2/18,0.183539,2.564254,8.617829,0.049998,13.328684,3.777805,28.472112
2019/2/19,0.176973,2.564279,9.171991,0.052271,14.185774,3.639646,29.738663
2019/2/20,0.186219,2.55749,9.782783,0.052047,15.13045,3.529104,31.186046
