date,Domestic Aviation,Ground Transport,Industry,International Aviation,Power,Residential,OT
2019/1/1,0.363743,3.562333,2.101368,0.178948,3.642758,3.069397,12.739599
2019/1/2,0.436517,2.930363,2.210084,0.190483,3.831221,3.498661,12.906847
2019/1/3,0.46924,4.200543,2.557985,0.203517,4.434313,3.320888,14.982969
2019/1/4,0.456743,4.426406,2.480767,0.203857,4.300453,3.15347,14.817839
2019/1/5,0.415185,3.672579,2.446,0.209391,4.240185,2.995229,13.769178
2019/1/6,0.397246,2.452315,2.188967,0.213379,3.794613,2.915595,11.748736
2019/1/7,0.421686,3.808125,1.865539,0.204479,3.233945,2.931723,12.261018
2019/1/8,0.437056,4.489326,2.161969,0.198693,3.747812,2.719159,13.555323
2019/1/9,0.422724,4.585743,2.118414,0.183752,3.672309,3.066776,13.865967
2019/1/10,0.478,4.621493,2.509675,0.207945,4.350567,3.594603,15.554338
2019/1/11,0.37084,4.829059,2.691191,0.191114,4.665227,3.647575,16.203892
2019/1/12,0.387957,4.074355,2.698533,0.20705,4.677955,3.528251,15.367052
2019/1/13,0.347492,2.179406,2.469938,0.204942,4.281681,3.622005,12.900522
2019/1/14,0.409115,3.812337,2.678118,0.199001,4.642565,3.74684,15.288974
2019/1/15,0.423907,4.612242,2.979826,0.191163,5.165582,3.702002,16.883559
2019/1/16,0.379857,4.76084,2.919948,0.16443,5.061783,3.480753,16.60318
2019/1/17,0.437966,4.645768,2.843943,0.195377,4.930026,3.368715,16.226418
2019/1/18,0.450628,4.74423,2.764608,0.201,4.792498,3.228866,15.98083
2019/1/19,0.376938,4.167728,2.404511,0.205572,4.168263,3.298923,14.416363
2019/1/20,0.310976,3.103984,2.439953,0.196401,4.229702,3.751059,13.835675
2019/1/21,0.380433,2.899401,2.787106,0.201634,4.831499,4.419549,15.317988
2019/1/22,0.4234,4.558625,3.009908,0.195863,5.21773,3.949279,17.158942
2019/1/23,0.411893,4.860396,2.853976,0.185173,4.947418,3.39712,16.470804
2019/1/24,0.440289,4.83374,2.747168,0.194336,4.762264,3.259975,16.043436
2019/1/25,0.452801,4.85302,2.709925,0.197635,4.697703,3.875998,16.589446
2019/1/26,0.397502,4.126243,2.948371,0.205547,5.111054,3.902749,16.485918
2019/1/27,0.355685,3.060659,2.70458,0.220036,4.688437,3.634476,14.443836
2019/1/28,0.376044,4.182639,2.510193,0.181055,4.351465,3.556401,14.976742
2019/1/29,0.411239,4.737693,2.623928,0.193884,4.548626,3.871529,16.193016
2019/1/30,0.396712,4.747955,3.081992,0.177673,5.342688,4.404529,17.973877
2019/1/31,0.418075,4.694356,3.375139,0.192018,5.850864,4.600595,18.939029
2019/2/1,0.441808,5.306938,3.791444,0.201035,5.682803,3.915444,19.138438
2019/2/2,0.392018,4.554924,3.272457,0.20691,4.90492,3.390644,16.514962
2019/2/3,0.343604,3.312317,2.53716,0.203518,3.802819,2.799216,12.795115
2019/2/4,0.393286,4.571465,2.259846,0.193747,3.387169,2.691387,13.303153
2019/2/5,0.431854,5.148739,2.610474,0.187222,3.912707,2.854473,14.958248
2019/2/6,0.41696,5.23309,2.851681,0.170778,4.274239,2.954635,15.730604
2019/2/7,0.434379,5.273056,2.833219,0.188219,4.246568,3.000506,15.787728
2019/2/8,0.450368,5.277163,2.83807,0.188775,4.253839,3.543941,16.363382
2019/2/9,0.388989,4.506096,3.159926,0.196802,4.736251,3.954981,16.746243
2019/2/10,0.349767,3.375875,3.057566,0.194661,4.58283,3.778486,15.144524
2019/2/11,0.402942,4.638815,3.037748,0.191476,4.553125,3.430151,16.062781
2019/2/12,0.399945,5.200086,2.994803,0.178107,4.488758,3.257605,16.341198
2019/2/13,0.416444,5.00991,2.930752,0.171095,4.392755,3.335353,16.085215
2019/2/14,0.451283,5.23557,2.809271,0.189511,4.210673,3.05288,15.759677
2019/2/15,0.468259,5.167903,2.652064,0.194159,3.975044,2.96477,15.228041
2019/2/16,0.409545,4.494278,2.753143,0.20368,4.126546,3.332247,15.115759
2019/2/17,0.351619,3.369456,2.777679,0.20599,4.163322,3.527269,14.189345
2019/2/18,0.407046,3.387069,2.750805,0.194228,4.123041,3.585119,14.253081
2019/2/19,0.445784,4.921911,3.22061,0.190738,4.827209,3.867532,17.283046
2019/2/20,0.414393,5.218176,3.413485,0.178516,5.116299,3.631697,17.794051
2019/2/21,0.448996,5.199373,3.139795,0.191894,4.706079,3.287727,16.78197
2019/2/22,0.458516,5.210119,2.953775,0.199679,4.427263,3.23174,16.281413
2019/2/23,0.407561,4.525337,2.974653,0.205159,4.458556,3.141582,15.507689
2019/2/24,0.374635,3.377935,2.536694,0.208016,3.802122,3.012828,13.104214
2019/2/25,0.414961,4.512133,2.59041,0.199849,3.882634,3.385388,14.785526
2019/2/26,0.446027,5.092991,2.935401,0.193914,4.399724,3.395042,16.269184
2019/2/27,0.452742,5.188696,3.050446,0.182828,4.572158,3.271237,16.535278
2019/2/28,0.46551,5.16267,3.045443,0.19974,4.56466,3.379011,16.617293
2019/3/1,0.4688,4.831701,3.15,0.20106,4.766586,3.179583,16.396671
2019/3/2,0.417421,4.142356,3.062517,0.208912,4.634206,3.049828,15.306329
2019/3/3,0.389824,3.017383,2.841868,0.206739,4.300319,3.236043,13.785436
2019/3/4,0.421186,4.131861,2.905208,0.199321,4.396165,3.786953,15.641374
2019/3/5,0.458926,4.661403,3.565112,0.198944,5.394733,3.939031,18.019205
2019/3/6,0.461096,4.78274,3.580256,0.182986,5.417649,3.803756,18.045498
2019/3/7,0.477711,4.765995,3.395217,0.201416,5.137647,3.472804,17.249375
2019/3/8,0.482211,4.803525,3.13217,0.207071,4.739604,3.123887,16.281397
2019/3/9,0.433103,4.131705,2.917943,0.209577,4.415436,2.866118,14.764305
2019/3/10,0.438708,3.145042,2.420864,0.209405,3.663255,2.66144,12.329309
2019/3/11,0.45995,4.223464,2.498829,0.207126,3.781232,2.649572,13.613047
2019/3/12,0.473091,4.677564,2.777047,0.20012,4.202233,2.683437,14.813372
2019/3/13,0.461316,4.731653,2.547339,0.190004,3.854638,2.539982,14.134928
2019/3/14,0.462001,4.776473,2.405796,0.202028,3.640454,2.206497,13.491222
2019/3/15,0.495112,4.831154,2.331541,0.209579,3.528091,2.272009,13.457907
2019/3/16,0.444625,3.965629,2.483673,0.21309,3.758298,2.630279,13.282504
2019/3/17,0.427217,3.335072,2.497134,0.212479,3.778667,2.786797,12.824887
2019/3/18,0.456006,4.290229,2.532113,0.205796,3.831597,2.732014,13.841959
2019/3/19,0.475841,4.641538,2.784514,0.200315,4.213531,2.667269,14.782693
